"","name","price","rating","votes_cnt","subzone","lat","lng","kuchnia1","n","lng_utm","lat_utm"
"1","Restauracja stary dom, Mokotów",140,4.3,313,"Mokotów",52.195412,21.023782,"Polska",1,501625.528758583,5782773.12041538
"2","Restauracja blue cactus, Mokotów",158,4.1,342,"Mokotów",52.206089,21.028308,"Meksykañska",2,501934.422763848,5783960.79849303
"3","Restauracja semolino, Mokotów",80,4.4,153,"Mokotów",52.188347,20.994736,"W³oska",2,499640.142125804,5781987.05179153
"4","Restauracja portucale, Mokotów",150,2.8,214,"Mokotów",52.196557,21.02624,"Portugalska",2,501793.489975838,5782900.53277539
"5","Restauracja mandala, Mokotów",115,4.2,96,"Mokotów",52.191169,20.9897,"Indyjska",1,499295.915380708,5782300.9697664
"6","Restauracja dom polski, Mokotów",210,4.2,42,"Mokotów",52.206215,21.032047,"Polska",1,502189.920545018,5783974.91940643
"7","Restauracja merliniego, Mokotów",230,4.1,67,"Mokotów",52.19531,21.025457,"Steak",2,501740.021036122,5782761.81417615
"8","Restauracja ma³a polana smaków, Mokotów",90,4.2,46,"Mokotów",52.20506,21.03173,"Polska",1,502168.314680489,5783846.44298965
"9","Restauracja milanovo bread wine cafe, Mokotów",40,4,55,"Mokotów",52.190213,21.024158,"Kawiarnia",2,501651.421453213,5782194.86232167
"10","Restauracja lotos, Mokotów",75,4,59,"Mokotów",52.202024,21.035886,"Polska",1,502452.487969942,5783508.89114211
"11","Restauracja galeon, Mokotów",120,3.6,69,"Mokotów",52.200951,21.028976,"Polska",3,501980.298815494,5783389.33371555
"12","Restauracja miel¿yñski, Mokotów",140,3.9,30,"Mokotów",52.204029,21.046047,"Przek¹ski",2,503146.760020724,5783732.29298335
"13","Restauracja sweet moments, Mokotów",40,3.9,29,"Mokotów",52.193912,21.023885,"Kawiarnia",3,501632.6238863,5782606.28292214
"14","Restauracja boston port, Mokotów",120,3.7,38,"Mokotów",52.197304,21.024609,"Ryby i owoce morza",1,501681.983802818,5782983.57994626
"15","Restauracja pardon tu, Mokotów",60,3.7,43,"Mokotów",52.205416,21.019204,"Przek¹ski",1,501312.322177452,5783885.73905842
"16","Restauracja locale, Mokotów",95,3.7,30,"Mokotów",52.192237,21.003946,"W³oska",2,500269.733139356,5782419.71699016
"17","Restauracja tam i z powrotem, Mokotów",60,3.7,30,"Mokotów",52.194969,21.003993,"Kawiarnia",1,500272.929143969,5782723.58801947
"18","Restauracja hamburger z karaibów, Mokotów",55,3.9,33,"Mokotów",52.190617,21.024116,"Burgery",2,501648.535424364,5782239.79685493
"19","Restauracja thailand street food, Mokotów",50,3.5,27,"Mokotów",52.201962,21.047424,"Tajska",1,503241.011813373,5783502.44807076
"20","Restauracja g³odomory, Mokotów",80,3.6,29,"Mokotów",52.206965,21.038305,"Polska",1,502617.514702265,5784058.54694386
